,person_id,name,first_name,gender
503,1115217,professorin dr.-ing. dagmar hülsenberg,dagmar,F
504,242558992,dr. gergely endrödi,gergely,M
505,1671031,privatdozent dr. francisco j. rivero crespo,rivero,
506,254483145,professor dr. martin kirschner,martin,M
507,69015013,professor dr. jingshi liu,jingshi,
508,65205969,dr. erik von elm,von,M
509,1280277,dr. henricus johannes maria sipman,maria,F
510,1487733,professor dr. mathias göken,mathias,M
511,1873274,dr. clemens lichter,clemens,M
512,169210184,dr. osama mohammed m. atawneh,m.,
513,102194085,professor dr. carsten nicolas böhler,nicolas,M
514,1279370,professor dr. markus michael simon,michael,M
515,60331876,dr. kerstin scholz,kerstin,F
516,1400261,dr.-ing. bernd rumpf,bernd,M
517,228284322,professor dr.-ing. gadi eisenstein,gadi,M
518,21582312,professor dr. richard schantz,richard,M
519,162736966,professor dr. roman stepniewski,roman,M
520,1769638,"professorin dr. barbara anne niemeyer, ph.d.","niemeyer,",
521,1067483,professor dr. dieter geuenich,dieter,M
522,162242263,professor dr. stephan jolie,stephan,M
523,123823477,dr.-ing. wolfram hage,wolfram,M
524,1180498,professor dr.-ing. per nicolai martens,nicolai,M
525,258971,professor dr. thomas schenk,thomas,M
526,1789315,dr.-ing. jörg weise,jörg,
527,27051933,professor dr. stefan rumann,stefan,M
528,209199761,dr. sergiy afonin,sergiy,M
529,389781553,"dr. michael jag, ph.d.","jag,",
530,1323672,professor dr. michael wegner,michael,M
531,1052270,professor dr. wilfried fiedler,wilfried,M
532,13840023,professor dr. markus huff,markus,M
533,1763770,privatdozent dr. michael w. maisch,w.,
534,1852438,"dr. manfred schmidt, ph.d.","schmidt,",
535,1374060,dr. georg licht,georg,M
536,1742678,professorin dr. eva jonas,eva,F
537,1608077,dr. ulrich natke,ulrich,M
538,1603974,professor dr. reinhold carle,reinhold,M
539,1451546,professor dr. arno bücker,arno,M
540,1671940,dr. heike laxander,heike,F
541,266273222,dr. robert heine,robert,M
542,1483926,professor dr. thomas friedrich,thomas,M
543,1537515,dr. oskar steiner,oskar,M
544,213682362,dr. olivier senn,olivier,M
545,1043468,professor dr. norbert elsner,norbert,M
546,1364511,dr. karin bräuer,karin,F
547,1454176,professor dr. werner heil,werner,M
548,1779930,professor dr. e. wolfgang kühn,wolfgang,M
549,224266843,dr. christoph karl thöringer,karl,M
550,1466092,dr. eckart apfelstedt-sylla,eckart,M
551,1321129,professor dr. peter weingart,peter,M
552,1704089,professor dr. thomas blanke,thomas,M
553,1458199,professor dr.-ing. jochen schein,jochen,M
554,1863936,professor dr. itai bab,itai,M
555,317893269,dr.-ing. hendrik riedmann,hendrik,M
556,1464348,professor dr. reinhard farwig,reinhard,M
557,157704753,dr. maximiliano gutierrez,maximiliano,M
558,1046950,professor dr. ralf erdmann,ralf,M
559,13124412,professor giacomo rizzolatti,giacomo,M
560,1256200,professor dr. wolfgang schmickler,wolfgang,M
561,1355161,professor dr. richard berger,richard,M
